n	y1[n]	y2[n]
0	4.077226881	0
1	0.3566177771	0.6983436464
2	-0.1612993608	-0.2780982956
3	-0.4577757476	0.3950609744
4	-0.137329925	-0.2123370985
5	-0.008693626068	0.2026505803
6	0.1826029799	-0.09706090828
7	0.03232998833	0.1001854588
8	0.005542089964	-0.0543411572
9	-0.01125534753	0.02305325451
10	0.03501516702	-0.03251070382
11	-0.0107918725	0.05049667759
12	0.03580816554	-0.04113154365
13	-0.005777325447	0.04096354225
14	-0.001436126955	-0.02501572605
15	0.003291176073	0.04505873954
16	-0.01216689496	-0.05013469765
17	0.0005678882418	0.01308023684
18	0.02160948912	-0.03632096395
19	0.01588581068	0.0374307456
20	0.007737236096	-0.007473557902
21	-0.01248531308	0.01649698666
22	0.0004871745102	-0.02345155041
23	0.001645392833	0.01404985677
24	0.01226453072	-0.01474878979
25	0.002418441613	0.01851240249
26	0.005967807842	-0.01548055653
27	-0.006852582042	0.01263432176
28	-0.0002520550228	-0.008841584025
29	-0.0003558828729	0.01402377743
30	0.002004432084	-0.01245573201
31	0.009056460644	0.008400200554
32	-0.001936333399	-0.003074091702
33	0.00552646404	0.01139012374
34	-0.007344122659	-0.006253132541
35	0.000319027286	0.004542042535